STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,NPENSIONWEALTH,Net pension wealth,MEN,Men,MULTAGEARN,Multiple of annual gross earnings,A,Annual,2022,,12.3,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,44.672866,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,LF,Labour force,TOT,Total,THND_PER,Thousand persons,A,Annual,2022,,678890.4,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,TEMPEMP,Temporary employment,55_64,55-64 year-olds,PC_DEPEMP,% of dependent employment,A,Annual,2022,,8.57,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,FIXWIRED,Fixed broadband subscriptions,DSL,DSL,NBR,Number,A,Annual,2022,,114820832,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,AGRSUPP,Agricultural support,GSSE,General services support (GSSE),MLN_EUR,Million Euros,A,Annual,2022,,44832.907556,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,EDUADULT,Adult education level,BUPPSRY,Below upper secondary,PC_25_64,% of 25-64 year-olds,A,Annual,2022,,19.524263,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,AGRSUPP,Agricultural support,CSE,Consumer support (CSE),MLN_USD,Million US dollars,A,Annual,2022,,-9965.092942,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,PARTEMP,Part-time employment rate,TOT,Total,PC_EMP,% of employment,A,Annual,2022,,16.08317282,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,GDINSURANCEPREM,Gross direct insurance premiums,TOT,Total,USD_CAP,US dollars/capita,A,Annual,2022,,3973.06,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,TAXWEDGE,Tax wedge,TOT,Total,PC_LC,% of labour cost,A,Annual,2022,,34.585822,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,FDIFLOW,FDI flows,INWARD,Inward,PC_GDP,% of GDP,A,Annual,2022,,0.80766814048269,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,ULC,Unit labour costs,EMP,By persons employed,IDX2015,2015=100,A,Annual,2022,,120.8128,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,LFPR,Labour force participation rate,25_64,25-64 years olds,PC_AGE,% in same age group,A,Annual,2022,,78.8061423050385,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WORKEXPOV,Working hours needed to exit poverty,UNEMP_COUPL2CHLD,"Jobless couple, 2 children",HR_MINWAGE,Hours at minimum wage,A,Annual,2022,,57,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_AVEWAGE,Hours at average wage,A,Annual,2022,,15,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WORKEXPOV,Working hours needed to exit poverty,SNGLNOCHLD,"Single, no child",HR_67PC_AVEWAGE,Hours at 67% average wage,A,Annual,2022,,22,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,MININCBEN,Adequacy of minimum income benefits,COUPLNOCHLD,"Couple, no child",PC_MDI,% of median disposable income,A,Annual,2022,,35,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,CHLDCARECOST,Net childcare costs,SNGL_67PC_AVEWAGE,"Single, 67% of average wage",PC_HI,% of household income,A,Annual,2022,,9,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,FINDISINWKHR,Financial disincentive to increase working hours,67PC_AVEWAGE,Earning 67% of average wage,PC_EARN,% of earnings,A,Annual,2022,,36,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,CPI,Inflation (CPI),TOT_FOODENRG,"Total less food, less energy",IDX2015,2015=100,A,Annual,2022,,121.0237,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,CROPYIELD,Crop production,MAIZE,Maize,THND_TONNE,Thousand tonnes,A,Annual,2022,,488874.337,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,WAGELEVEL,Wage levels,LPAY,Low pay,PC,Percentage,A,Annual,2022,,13.9657196010156,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,EDUTRY,Population with tertiary education,25_34_MEN,25-34 year-old men,PC_AGE,% in same age group,A,Annual,2022,,41.093738,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,PARTEMP,Part-time employment rate,WOMEN,Women,PC_EMP,% of employment,A,Annual,2022,,23.98130097,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,GPENSION,Gross pension replacement rates,WOMEN,Women,PC_PRERETEARN,% of pre-retirement earnings,A,Annual,2022,,50.1,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,GPENSIONWEALTH,Gross pension wealth,WOMEN,Women,MULTAGEARN,Multiple of annual gross earnings,A,Annual,2022,,11.2,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,EDUADULT,Adult education level,TRY_MEN,"Tertiary, men",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,36.682184,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,AVWAGE,Average wages,TOT,Total,USD,US dollars,A,Annual,2022,,53415.8435243834,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OAVG,OECD - Average,NEET,"Youth not in employment, education or training (NEET)",15_29,15-29 year-olds,PC_AGE,% in same age group,A,Annual,2022,,12.645776,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,FIXWIRED,Fixed broadband subscriptions,DSL,DSL,100HAB,Per 100 inhabitants,A,Annual,2022,,8.324,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,AGRSUPP,Agricultural support,PSE,Producer support (PSE),MLN_EUR,Million Euros,A,Annual,2022,,204667.4197,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,AGRSUPP,Agricultural support,GSSE,General services support (GSSE),PC_AGRSUPP,% of total agricultural support,A,Annual,2022,,13.750175141,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,NATINSURANCESH,National insurance market share,TOT,Total,OECDIDX,OECD=100,A,Annual,2022,,100,,A,,,,,,,	
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,OECD,OECD - Total,MEATCONSUMP,Meat consumption,BEEF,Beef and veal,KG_CAP,Kilograms/capita,A,Annual,2022,,14.244,,A,,,,,,,	
